,Diameter+,Diameter+ Count,CY5+,CY5+ Count,GFP+,GFP+ Count,Drop_Count,MedDropDiam,Area>2XMed
0,0.7635135135135135,113,0.36486486486486486,54,0.08108108108108109,12,148,189.37027920658562,0.0
1,0.8888888888888888,8,0.8888888888888888,8,0.2222222222222222,2,9,170.22354639857062,0.0
2,0.0,0,0.0,0,0.0,0,1,134.4326845961272,0.0
3,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,5,6,172.16746029076128,0.0
4,0.9920634920634921,125,0.5396825396825397,68,0.48412698412698413,61,126,189.34976560356398,0.0
5,0.8796680497925311,212,0.47717842323651455,115,0.16182572614107885,39,241,153.94658465083313,0.0
6,0.697986577181208,104,0.7181208053691275,107,0.12751677852348994,19,149,150.07503961904726,0.0
7,0.9922480620155039,128,0.5891472868217055,76,0.17054263565891473,22,129,174.09809337403215,0.0
8,0.9209039548022598,163,0.5988700564971752,106,0.11299435028248588,20,177,180.54618552266115,0.0
9,0.9333333333333333,56,0.7333333333333333,44,0.15,9,60,174.61423019071879,0.0
10,0.0,0,0.0,0,0.0,0,1,67.62168111328947,0.0
11,0.0,0,0.0,0,0.0,0,1,152.70521895762516,0.0
12,0.75,33,0.5681818181818182,25,0.20454545454545456,9,44,176.87838663306468,0.0
13,0.9605263157894737,146,0.6513157894736842,99,0.07894736842105263,12,152,189.55977907726114,0.0
14,0.8835978835978836,167,0.48677248677248675,92,0.15343915343915343,29,189,184.08594711457172,0.0
15,0.9891304347826086,182,0.5380434782608695,99,0.16304347826086957,30,184,177.73117885097804,0.0
16,0.7458563535911602,135,0.8121546961325967,147,0.20994475138121546,38,181,167.58885932836316,0.0
17,0.7142857142857143,5,0.5714285714285714,4,0.8571428571428571,6,7,122.81935184824518,0.0
18,0.8,4,0.8,4,0.8,4,5,138.35119278964416,0.0
